nohup: ignoring input
[1] order5big_0003: THEOREM (60.2s)  running={'THEOREM': 1}
[140] order5big_1115: LINEAR (0.0s)  running={'THEOREM': 57, 'LINEAR': 78, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[141] order5big_1123: THEOREM (61.2s)  running={'THEOREM': 58, 'LINEAR': 78, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[142] order5big_1131: LINEAR (0.0s)  running={'THEOREM': 58, 'LINEAR': 79, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[143] order5big_1139: LINEAR (0.0s)  running={'THEOREM': 58, 'LINEAR': 80, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[144] order5big_1147: LINEAR (0.0s)  running={'THEOREM': 58, 'LINEAR': 81, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[145] order5big_1155: LINEAR (0.0s)  running={'THEOREM': 58, 'LINEAR': 82, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[146] order5big_1163: THEOREM (60.2s)  running={'THEOREM': 59, 'LINEAR': 82, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[147] order5big_1171: THEOREM (60.2s)  running={'THEOREM': 60, 'LINEAR': 82, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[148] order5big_1179: LINEAR (0.0s)  running={'THEOREM': 60, 'LINEAR': 83, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[149] order5big_1187: THEOREM (62.2s)  running={'THEOREM': 61, 'LINEAR': 83, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[150] order5big_1195: LINEAR (0.0s)  running={'THEOREM': 61, 'LINEAR': 84, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[151] order5big_1203: LINEAR (0.0s)  running={'THEOREM': 61, 'LINEAR': 85, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[152] order5big_1211: THEOREM (60.2s)  running={'THEOREM': 62, 'LINEAR': 85, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[153] order5big_1219: THEOREM (73.2s)  running={'THEOREM': 63, 'LINEAR': 85, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[154] order5big_1227: THEOREM (62.5s)  running={'THEOREM': 64, 'LINEAR': 85, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[155] order5big_1235: THEOREM (60.2s)  running={'THEOREM': 65, 'LINEAR': 85, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[156] order5big_1243: THEOREM (75.4s)  running={'THEOREM': 66, 'LINEAR': 85, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
