nohup: ignoring input
[1] order5big_0001: LINEAR (0.0s)  running={'LINEAR': 1}
[100] order5big_0793: LINEAR (0.0s)  running={'LINEAR': 53, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[101] order5big_0801: LINEAR (0.0s)  running={'LINEAR': 54, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[102] order5big_0809: LINEAR (0.0s)  running={'LINEAR': 55, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[103] order5big_0817: LINEAR (0.0s)  running={'LINEAR': 56, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[104] order5big_0825: LINEAR (0.0s)  running={'LINEAR': 57, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[105] order5big_0833: LINEAR (0.0s)  running={'LINEAR': 58, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[106] order5big_0841: LINEAR (0.0s)  running={'LINEAR': 59, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[107] order5big_0849: LINEAR (0.0s)  running={'LINEAR': 60, 'THEOREM': 43, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[108] order5big_0857: THEOREM (62.8s)  running={'LINEAR': 60, 'THEOREM': 44, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[109] order5big_0865: LINEAR (0.0s)  running={'LINEAR': 61, 'THEOREM': 44, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[110] order5big_0873: THEOREM (60.5s)  running={'LINEAR': 61, 'THEOREM': 45, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 3}
[111] order5big_0881: SOLVED_FMB (1.1s)  running={'LINEAR': 61, 'THEOREM': 45, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[112] order5big_0889: LINEAR (0.0s)  running={'LINEAR': 62, 'THEOREM': 45, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[113] order5big_0897: THEOREM (60.2s)  running={'LINEAR': 62, 'THEOREM': 46, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[114] order5big_0905: LINEAR (0.0s)  running={'LINEAR': 63, 'THEOREM': 46, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[115] order5big_0913: THEOREM (60.2s)  running={'LINEAR': 63, 'THEOREM': 47, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[116] order5big_0921: THEOREM (60.6s)  running={'LINEAR': 63, 'THEOREM': 48, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[117] order5big_0929: THEOREM (60.2s)  running={'LINEAR': 63, 'THEOREM': 49, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[118] order5big_0937: LINEAR (0.0s)  running={'LINEAR': 64, 'THEOREM': 49, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[119] order5big_0945: LINEAR (0.0s)  running={'LINEAR': 65, 'THEOREM': 49, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[120] order5big_0953: THEOREM (61.1s)  running={'LINEAR': 65, 'THEOREM': 50, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[121] order5big_0961: THEOREM (60.2s)  running={'LINEAR': 65, 'THEOREM': 51, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[122] order5big_0969: THEOREM (60.2s)  running={'LINEAR': 65, 'THEOREM': 52, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[123] order5big_0977: LINEAR (0.0s)  running={'LINEAR': 66, 'THEOREM': 52, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[124] order5big_0985: LINEAR (0.0s)  running={'LINEAR': 67, 'THEOREM': 52, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[125] order5big_0993: LINEAR (0.0s)  running={'LINEAR': 68, 'THEOREM': 52, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
